es,eng
de,of
que,that
no,not
a,a
la,the
el,the
y,Y
es,is
en,in
lo,it
un,a
por,for
qué,what
me,I
una,a
los,the
se,I know
te,tea
con,with
para,to
está,this
mi,me
pero,but
sí,Yeah
si,Yeah
bien,all right
eso,that
su,his
las,the
yo,I
del,of
como,What
aquí,here
tu,you
al,to the
más,more
le,you
esto,this
todo,everything
ya,Already
estoy,am
ahora,now
muy,very
ha,ha
esta,is
así,So
vamos,come on
algo,something
hay,there are
bueno,well
tengo,I've got
él,he
cuando,when
estás,these
sé,HE
tú,your
nos,us
nada,nothing
cómo,What
este,East
o,either
he,He
ser,to be
tiene,have
puedo,may l
ella,she
quiero,want
hacer,do
fue,it was
gracias,Thank you
vez,time
era,was
soy,am
sólo,only
todos,everyone
porque,why
son,They are
tienes,have
creo,believe
voy,I go
sabes,You know
estaba,was
puede,may
eres,are
ese,that
usted,you
entonces,then
hola,hello
solo,only
verdad,TRUE
casa,house
tan,so
quién,who
sus,their
tiempo,weather
dos,two
esa,that
nunca,never
dónde,where
va,goes
oh,Oh
favor,favor
mucho,much
mí,my
quieres,you want
siento,I feel
señor,mister
mejor,better
hace,does
has,you have
decir,say
también,too
sobre,upon
dios,God
sin,without
tenemos,we have
están,is it so
ti,you
puedes,you may
ver,watch
hombre,man
vida,life
alguien,somebody
cosas,stuff
siempre,forever
hasta,until
ahí,there
ir,go
años,years
antes,before
estar,be
ni,neither
poco,little bit
día,day
uno,one
noche,night
hecho,done
mis,my
estamos,we're
otra,other
acuerdo,agreement
trabajo,worked
nosotros,us
parece,It seems
gente,people
sea,be
padre,dad
mira,look
mismo,same
dijo,said
nadie,nobody
quiere,wants
podría,might
hablar,speak
vas,you go
ellos,them
sr.,Mr.
tal,such
pasa,happens
fuera,outside
después,after
han,they have
desde,since
dinero,money
mundo,world
claro,Clear
momento,moment
les,them
tener,have
estado,condition
otro,other
había,there was
mañana,morning
tenía,I had
madre,mother
vale,OK
lugar,place
haciendo,doing
donde,where
seguro,sure
sabe,knows
podemos,can
tus,your
espera,wait
nuevo,new
sido,been
cosa,stuff
hijo,son
allí,over there
menos,less
tipo,type
amigo,friend
gran,big
nuestro,our
mujer,women
mamá,breast
luego,later
papá,father
días,days
dice,He says
hoy,today
tres,three
buena,good
necesito,needed
dije,I said
oye,hears
gusta,like
quería,wanted
será,will be
haber,to have
parte,part
todas,all
crees,You believe
buen,good
conmigo,with me
nombre,Name
mierda,shit
nuestra,our
mal,wrong
debe,should
realmente,Really
estas,are
aún,still
mío,Own
toda,all
hacerlo,do it
cada,every
visto,viewed
importa,It matters
contigo,with you
tienen,have
hemos,we have
razón,reason
alguna,some
tanto,so much
